gene:Et_10A_000251 gene:Et_10A_000994
gene:Et_2A_015840 gene:Et_2A_015846
gene:Et_2A_015846 gene:Et_2A_015844
gene:Et_2A_015846 gene:Et_2A_015849
gene:Et_2A_015844 gene:Et_2A_015845
gene:Et_2A_015853 gene:Et_2A_015852
gene:Et_2A_015861 gene:Et_2A_015856
gene:Et_2A_015861 gene:Et_2A_015860
gene:Et_2A_015859 gene:Et_2A_015858
gene:Et_2A_014846 gene:Et_2A_014847
gene:Et_2A_014517 gene:Et_2A_014847
gene:Et_2A_015889 gene:Et_2A_015888
gene:Et_2A_015938 gene:Et_2A_015943
gene:Et_2A_018233 gene:Et_2A_015940
gene:Et_2A_018233 gene:Et_2A_015949
gene:Et_2A_015940 gene:Et_2A_015949
gene:Et_2A_015948 gene:Et_2A_015954
gene:Et_2A_015968 gene:Et_2A_015971
gene:Et_2A_015970 gene:Et_2A_015969
gene:Et_2A_015972 gene:Et_2A_015971
gene:Et_2A_015979 gene:Et_2A_018237
gene:Et_2A_014875 gene:Et_2A_014528
gene:Et_2A_014528 gene:Et_2A_014876
gene:Et_2A_018249 gene:Et_2A_016022
gene:Et_2A_016042 gene:Et_2A_018259
gene:Et_2A_016053 gene:Et_2A_016052
gene:Et_2A_016056 gene:Et_2A_016055
gene:Et_2A_018263 gene:Et_2A_016065
gene:Et_2A_018263 gene:Et_2A_016067
gene:Et_2A_016065 gene:Et_2A_016067
gene:Et_2A_016067 gene:Et_2A_016070
gene:Et_2A_018271 gene:Et_2A_018272
gene:Et_2A_016117 gene:Et_2A_016116
gene:Et_2A_016110 gene:Et_2A_018278
gene:Et_2A_016110 gene:Et_2A_016111
gene:Et_2A_018278 gene:Et_2A_016111
gene:Et_2A_016114 gene:Et_2A_016113
gene:Et_2A_016129 gene:Et_2A_016135
gene:Et_2A_016129 gene:Et_2A_016130
gene:Et_2A_016135 gene:Et_2A_016130
gene:Et_2A_016132 gene:Et_2A_016133
gene:Et_2A_016132 gene:Et_2A_016138
gene:Et_2A_016138 gene:Et_2A_016139
gene:Et_2A_016138 gene:Et_2A_016144
gene:Et_2A_016139 gene:Et_2A_016144
gene:Et_2A_018283 gene:Et_2A_016140
gene:Et_2A_018288 gene:Et_2A_018289
gene:Et_2A_016221 gene:Et_2A_018307
gene:Et_2A_016221 gene:Et_2A_016216
gene:Et_2A_018307 gene:Et_2A_016216
gene:Et_2A_014930 gene:Et_2A_014553
gene:Et_2A_014942 gene:Et_2A_014943
gene:Et_2A_016255 gene:Et_2A_016257
gene:Et_2A_016254 gene:Et_2A_018312
gene:Et_2A_018313 gene:Et_2A_014945
gene:Et_2A_018314 gene:Et_2A_018316
gene:Et_2A_018316 gene:Et_2A_016261
gene:Et_2A_018316 gene:Et_2A_016262
gene:Et_2A_016261 gene:Et_2A_016262
gene:Et_2A_016271 gene:Et_2A_018317
gene:Et_2A_016268 gene:Et_2A_016266
gene:Et_2A_016268 gene:Et_2A_016267
gene:Et_2A_016266 gene:Et_2A_016267
gene:Et_2A_016282 gene:Et_2A_016281
gene:Et_2A_016299 gene:Et_2A_016294
gene:Et_2A_016294 gene:Et_2A_016295
gene:Et_2A_016295 gene:Et_2A_016298
gene:Et_2A_016295 gene:Et_2A_016297
gene:Et_2A_016298 gene:Et_2A_016297
gene:Et_2A_016317 gene:Et_2A_016318
gene:Et_2A_018329 gene:Et_2A_014564
gene:Et_2A_018332 gene:Et_2A_016331
gene:Et_2A_016356 gene:Et_2A_016358
gene:Et_2A_016356 gene:Et_2A_016357
gene:Et_2A_016358 gene:Et_2A_016357
gene:Et_2A_018350 gene:Et_2A_016392
gene:Et_2A_018355 gene:Et_2A_018354
gene:Et_2A_016397 gene:Et_2A_016396
gene:Et_2A_018356 gene:Et_2A_016408
gene:Et_2A_016410 gene:Et_2A_016414
gene:Et_2A_016417 gene:Et_2A_018363
gene:Et_2A_016417 gene:Et_2A_018364
gene:Et_2A_018363 gene:Et_2A_016421
gene:Et_2A_018364 gene:Et_2A_016421
gene:Et_2A_018366 gene:Et_2A_016423
gene:Et_2A_016426 gene:Et_2A_018369
gene:Et_2A_016434 gene:Et_2A_016430
gene:Et_2A_016451 gene:Et_2A_016450
gene:Et_2A_016451 gene:Et_2A_016452
gene:Et_2A_016450 gene:Et_2A_016452
gene:Et_2A_016452 gene:Et_2A_014582
gene:Et_2A_016468 gene:Et_2A_016469
gene:Et_2A_016468 gene:Et_2A_016470
gene:Et_2A_016470 gene:Et_2A_016482
gene:Et_2A_016486 gene:Et_2A_016480
gene:Et_2A_016486 gene:Et_2A_016487
gene:Et_2A_016480 gene:Et_2A_016487
gene:Et_2A_016488 gene:Et_2A_016494
gene:Et_2A_016488 gene:Et_2A_016493
gene:Et_2A_016494 gene:Et_2A_016493
gene:Et_2A_016494 gene:Et_2A_016495
gene:Et_2A_016493 gene:Et_2A_016495
gene:Et_2A_016493 gene:Et_2A_016489
gene:Et_2A_016495 gene:Et_2A_016489
gene:Et_2A_016495 gene:Et_2A_016501
gene:Et_2A_016489 gene:Et_2A_016501
gene:Et_2A_018377 gene:Et_2A_018378
gene:Et_2A_018377 gene:Et_2A_016497
gene:Et_2A_018378 gene:Et_2A_016497
gene:Et_2A_016498 gene:Et_2A_016504
gene:Et_2A_016504 gene:Et_2A_018379
gene:Et_2A_016504 gene:Et_2A_016505
gene:Et_2A_016510 gene:Et_2A_016511
gene:Et_2A_016522 gene:Et_2A_016521
gene:Et_2A_016521 gene:Et_2A_016512
gene:Et_2A_018381 gene:Et_2A_018382
gene:Et_2A_016532 gene:Et_2A_016531
gene:Et_2A_016531 gene:Et_2A_016535
gene:Et_2A_016535 gene:Et_2A_016534
gene:Et_2A_016543 gene:Et_2A_018384
gene:Et_2A_016543 gene:Et_2A_016542
gene:Et_2A_018384 gene:Et_2A_016542
gene:Et_2A_016540 gene:Et_2A_016544
gene:Et_2A_018386 gene:Et_2A_015005
gene:Et_2A_016570 gene:Et_2A_016569
gene:Et_2A_016575 gene:Et_2A_016574
gene:Et_2A_016589 gene:Et_2A_016588
gene:Et_2A_014593 gene:Et_2A_016595
gene:Et_2A_014594 gene:Et_2A_016595
gene:Et_2A_016614 gene:Et_2A_018396
gene:Et_2A_016627 gene:Et_2A_015031
gene:Et_2A_016627 gene:Et_2A_018399
gene:Et_2A_015031 gene:Et_2A_018399
gene:Et_2A_016649 gene:Et_2A_016650
gene:Et_2A_018407 gene:Et_2A_018409
gene:Et_2A_018411 gene:Et_2A_018412
gene:Et_2A_016676 gene:Et_2A_016675
gene:Et_2A_015040 gene:Et_2A_016698
gene:Et_2A_016698 gene:Et_2A_016697
gene:Et_2A_016699 gene:Et_2A_016700
gene:Et_2A_018416 gene:Et_2A_018418
gene:Et_2A_018417 gene:Et_2A_015043
gene:Et_2A_018417 gene:Et_2A_018418
gene:Et_2A_015043 gene:Et_2A_018418
gene:Et_2A_018418 gene:Et_2A_016702
gene:Et_2A_018422 gene:Et_2A_016716
gene:Et_2A_018422 gene:Et_2A_016719
gene:Et_2A_016716 gene:Et_2A_016719
gene:Et_2A_018423 gene:Et_2A_016724
gene:Et_2A_016743 gene:Et_2A_016744
gene:Et_2A_016753 gene:Et_2A_016752
gene:Et_2A_016753 gene:Et_2A_016751
gene:Et_2A_016752 gene:Et_2A_016751
gene:Et_2A_015055 gene:Et_2A_018429
gene:Et_2A_018437 gene:Et_2A_016789
gene:Et_2A_018441 gene:Et_2A_018443
gene:Et_2A_018443 gene:Et_2A_016799
gene:Et_2A_018439 gene:Et_2A_018440
gene:Et_2A_018439 gene:Et_2A_016799
gene:Et_2A_018440 gene:Et_2A_016799
gene:Et_2A_016809 gene:Et_2A_016808
gene:Et_2A_016810 gene:Et_2A_016813
gene:Et_2A_018448 gene:Et_2A_016816
gene:Et_2A_018449 gene:Et_2A_018450
gene:Et_2A_018451 gene:Et_2A_018452
gene:Et_2A_016820 gene:Et_2A_018456
gene:Et_2A_018456 gene:Et_2A_018457
gene:Et_2A_016823 gene:Et_2A_016822
gene:Et_2A_016833 gene:Et_2A_016832
gene:Et_2A_016832 gene:Et_2A_016826
gene:Et_2A_015075 gene:Et_2A_016838
gene:Et_2A_014615 gene:Et_2A_016838
gene:Et_2A_016838 gene:Et_2A_018461
gene:Et_2A_016843 gene:Et_2A_016841
gene:Et_2A_016843 gene:Et_2A_016842
gene:Et_2A_015076 gene:Et_2A_018462
gene:Et_2A_018466 gene:Et_2A_016858
gene:Et_2A_016888 gene:Et_2A_016887
gene:Et_2A_018481 gene:Et_2A_018482
gene:Et_2A_018484 gene:Et_2A_016924
gene:Et_2A_016930 gene:Et_2A_018485
gene:Et_2A_018498 gene:Et_2A_017002
gene:Et_2A_017017 gene:Et_2A_017015
gene:Et_2A_017017 gene:Et_2A_017016
gene:Et_2A_017015 gene:Et_2A_017016
gene:Et_2A_017101 gene:Et_2A_017100
gene:Et_2A_017101 gene:Et_2A_017097
gene:Et_2A_017100 gene:Et_2A_017097
gene:Et_2A_017097 gene:Et_2A_015120
gene:Et_2A_017130 gene:Et_2A_015123
gene:Et_2A_015123 gene:Et_2A_017131
gene:Et_2A_017152 gene:Et_2A_017151
gene:Et_2A_017148 gene:Et_2A_018519
gene:Et_2A_018521 gene:Et_2A_017167
gene:Et_2A_018522 gene:Et_2A_017167
gene:Et_2A_018522 gene:Et_2A_018523
gene:Et_2A_017167 gene:Et_2A_018523
gene:Et_2A_014646 gene:Et_2A_017169
gene:Et_2A_014646 gene:Et_2A_018524
gene:Et_2A_017169 gene:Et_2A_018524
gene:Et_2A_017172 gene:Et_2A_017173
gene:Et_2A_017183 gene:Et_2A_017178
gene:Et_2A_017189 gene:Et_2A_017188
gene:Et_2A_018541 gene:Et_2A_018542
gene:Et_2A_017229 gene:Et_2A_017228
gene:Et_2A_018549 gene:Et_2A_017248
gene:Et_2A_017251 gene:Et_2A_017253
gene:Et_2A_018562 gene:Et_2A_017293
gene:Et_2A_017323 gene:Et_2A_017322
gene:Et_2A_017329 gene:Et_2A_017328
gene:Et_2A_017329 gene:Et_2A_017326
gene:Et_2A_017328 gene:Et_2A_017326
gene:Et_2A_017336 gene:Et_2A_017337
gene:Et_2A_017346 gene:Et_2A_017350
gene:Et_2A_017346 gene:Et_2A_018576
gene:Et_2A_017350 gene:Et_2A_018576
gene:Et_2A_017353 gene:Et_2A_018577
gene:Et_2A_018577 gene:Et_2A_017355
gene:Et_2A_018576 gene:Et_2A_014668
gene:Et_2A_014668 gene:Et_2A_015158
gene:Et_2A_017360 gene:Et_2A_017357
gene:Et_2A_017362 gene:Et_2A_017363
gene:Et_2A_017357 gene:Et_2A_017358
gene:Et_2A_017363 gene:Et_2A_017370
gene:Et_2A_018579 gene:Et_2A_017375
gene:Et_2A_018584 gene:Et_2A_017381
gene:Et_2A_017380 gene:Et_2A_018582
gene:Et_2A_017380 gene:Et_2A_017382
gene:Et_2A_018582 gene:Et_2A_017382
gene:Et_2A_014674 gene:Et_2A_015163
gene:Et_2A_017415 gene:Et_2A_017414
gene:Et_2A_015170 gene:Et_2A_015169
gene:Et_2A_017451 gene:Et_2A_018596
gene:Et_2A_017489 gene:Et_2A_018604
gene:Et_2A_017509 gene:Et_2A_017508
gene:Et_2A_017512 gene:Et_2A_017511
gene:Et_2B_022738 gene:Et_2B_022781
gene:Et_2B_022738 gene:Et_2B_021736
gene:Et_2B_022781 gene:Et_2B_021744
gene:Et_2B_021744 gene:Et_2B_021736
gene:Et_2B_019462 gene:Et_2B_022779
gene:Et_2B_022780 gene:Et_2B_021741
gene:Et_2B_021835 gene:Et_2B_021833
gene:Et_2B_021839 gene:Et_2B_021838
gene:Et_2B_022006 gene:Et_2B_022012
gene:Et_2B_022918 gene:Et_2B_022009
gene:Et_2B_022092 gene:Et_2B_022091
gene:Et_2B_022179 gene:Et_2B_022182
gene:Et_2B_022190 gene:Et_2B_022189
gene:Et_2B_022214 gene:Et_2B_022215
gene:Et_2B_022215 gene:Et_2B_019786
gene:Et_2B_019160 gene:Et_2B_019159
gene:Et_2B_019990 gene:Et_2B_019999
gene:Et_2B_020117 gene:Et_2B_018917
gene:Et_2B_018917 gene:Et_2B_022284
gene:Et_2B_018917 gene:Et_2B_020118
gene:Et_2B_022284 gene:Et_2B_020118
gene:Et_2B_022325 gene:Et_2B_022355
gene:Et_2B_020425 gene:Et_2B_022391
gene:Et_2B_020518 gene:Et_2B_020519
gene:Et_2B_022441 gene:Et_2B_020720
gene:Et_2B_022442 gene:Et_2B_020719
gene:Et_2B_020720 gene:Et_2B_020719
gene:Et_2B_022469 gene:Et_2B_022465
gene:Et_2B_020716 gene:Et_2B_022468
gene:Et_2B_020715 gene:Et_2B_022468
gene:Et_2B_020823 gene:Et_2B_020822
gene:Et_2B_022557 gene:Et_2B_022558
gene:Et_2B_022560 gene:Et_2B_022587
gene:Et_2B_021259 gene:Et_2B_021258
gene:Et_2B_021259 gene:Et_2B_022619
gene:Et_2B_021258 gene:Et_2B_022622
gene:Et_2B_021258 gene:Et_2B_022619
gene:Et_2B_022623 gene:Et_2B_022621
gene:Et_2B_022623 gene:Et_2B_021262
gene:Et_2B_022621 gene:Et_2B_021262
gene:Et_2B_021261 gene:Et_2B_021257
gene:Et_2B_021359 gene:Et_2B_021361
gene:Et_2B_021354 gene:Et_2B_021355
gene:Et_2B_021358 gene:Et_2B_021477
gene:Et_2B_022677 gene:Et_2B_022676
gene:Et_2B_021582 gene:Et_2B_021575
gene:Et_2B_021575 gene:Et_2B_022701
gene:Et_2B_021585 gene:Et_2B_022700
gene:Et_2B_022703 gene:Et_2B_022704
gene:Et_2B_022704 gene:Et_2B_022705
gene:Et_2B_019081 gene:Et_2B_021594
gene:Et_2B_021596 gene:Et_2B_021601
gene:Et_2B_022722 gene:Et_2B_021621
gene:Et_2B_021627 gene:Et_2B_021626
gene:Et_2B_021631 gene:Et_2B_021632
gene:Et_2B_021635 gene:Et_2B_022727
gene:Et_2B_022744 gene:Et_2B_022740
gene:Et_2B_021655 gene:Et_2B_022741
gene:Et_2B_021657 gene:Et_2B_022746
gene:Et_2B_021662 gene:Et_2B_021664
gene:Et_2B_021662 gene:Et_2B_021666
gene:Et_2B_021664 gene:Et_2B_021666
gene:Et_2B_022753 gene:Et_2B_019460
gene:Et_2B_022760 gene:Et_2B_022761
gene:Et_2B_021696 gene:Et_2B_021698
gene:Et_2B_021698 gene:Et_2B_021700
gene:Et_2B_021698 gene:Et_2B_022762
gene:Et_2B_021700 gene:Et_2B_022762
gene:Et_2B_021700 gene:Et_2B_022763
gene:Et_2B_022763 gene:Et_2B_022765
gene:Et_2B_021707 gene:Et_2B_021712
gene:Et_2B_021707 gene:Et_2B_021713
gene:Et_2B_021712 gene:Et_2B_021713
gene:Et_2B_022777 gene:Et_2B_022778
gene:Et_2B_022777 gene:Et_2B_021727
gene:Et_2B_022778 gene:Et_2B_021727
gene:Et_2B_022778 gene:Et_2B_022782
gene:Et_2B_021727 gene:Et_2B_022782
gene:Et_2B_022783 gene:Et_2B_021748
gene:Et_2B_022783 gene:Et_2B_022784
gene:Et_2B_021748 gene:Et_2B_022784
gene:Et_2B_021777 gene:Et_2B_021776
gene:Et_2B_021776 gene:Et_2B_021775
gene:Et_2B_021786 gene:Et_2B_021787
gene:Et_2B_021803 gene:Et_2B_021798
gene:Et_2B_021803 gene:Et_2B_021802
gene:Et_2B_021798 gene:Et_2B_021802
gene:Et_2B_022812 gene:Et_2B_019471
gene:Et_2B_019471 gene:Et_2B_021818
gene:Et_2B_019471 gene:Et_2B_022814
gene:Et_2B_021818 gene:Et_2B_022814
gene:Et_2B_021832 gene:Et_2B_022826
gene:Et_2B_021832 gene:Et_2B_022822
gene:Et_2B_022826 gene:Et_2B_022822
gene:Et_2B_021852 gene:Et_2B_022822
gene:Et_2B_021852 gene:Et_2B_021853
gene:Et_2B_022822 gene:Et_2B_021853
gene:Et_2B_021863 gene:Et_2B_021862
gene:Et_2B_021863 gene:Et_2B_021868
gene:Et_2B_021862 gene:Et_2B_021868
gene:Et_2B_021868 gene:Et_2B_021869
gene:Et_2B_021868 gene:Et_2B_021870
gene:Et_2B_021869 gene:Et_2B_021870
gene:Et_2B_021874 gene:Et_2B_021875
gene:Et_2B_021874 gene:Et_2B_022836
gene:Et_2B_021875 gene:Et_2B_022836
gene:Et_2B_021883 gene:Et_2B_022843
gene:Et_2B_021883 gene:Et_2B_022842
gene:Et_2B_022843 gene:Et_2B_022842
gene:Et_2B_022843 gene:Et_2B_021886
gene:Et_2B_022842 gene:Et_2B_021886
gene:Et_2B_022849 gene:Et_2B_022851
gene:Et_2B_022850 gene:Et_2B_022852
gene:Et_2B_022854 gene:Et_2B_022855
gene:Et_2B_022854 gene:Et_2B_021909
gene:Et_2B_022855 gene:Et_2B_021909
gene:Et_2B_022855 gene:Et_2B_021908
gene:Et_2B_021909 gene:Et_2B_021908
gene:Et_2B_021909 gene:Et_2B_021910
gene:Et_2B_021908 gene:Et_2B_022862
gene:Et_2B_021910 gene:Et_2B_022862
gene:Et_2B_022857 gene:Et_2B_022858
gene:Et_2B_022857 gene:Et_2B_021911
gene:Et_2B_022858 gene:Et_2B_021911
gene:Et_2B_022863 gene:Et_2B_021935
gene:Et_2B_021919 gene:Et_2B_021939
gene:Et_2B_021939 gene:Et_2B_022874
gene:Et_2B_022873 gene:Et_2B_022876
gene:Et_2B_021943 gene:Et_2B_021952
gene:Et_2B_021953 gene:Et_2B_022886
gene:Et_2B_021951 gene:Et_2B_021955
gene:Et_2B_022885 gene:Et_2B_021955
gene:Et_2B_021955 gene:Et_2B_021956
gene:Et_2B_022888 gene:Et_2B_022889
gene:Et_2B_022888 gene:Et_2B_022895
gene:Et_2B_022889 gene:Et_2B_022895
gene:Et_2B_022894 gene:Et_2B_022890
gene:Et_2B_021965 gene:Et_2B_022896
gene:Et_2B_021963 gene:Et_2B_022898
gene:Et_2B_022897 gene:Et_2B_021967
gene:Et_2B_022898 gene:Et_2B_022899
gene:Et_2B_021967 gene:Et_2B_022901
gene:Et_2B_021967 gene:Et_2B_022900
gene:Et_2B_022901 gene:Et_2B_022900
gene:Et_2B_021966 gene:Et_2B_022900
gene:Et_2B_022907 gene:Et_2B_022906
gene:Et_2B_021979 gene:Et_2B_021980
gene:Et_2B_021979 gene:Et_2B_021981
gene:Et_2B_022905 gene:Et_2B_019091
gene:Et_2B_021983 gene:Et_2B_022909
gene:Et_2B_019091 gene:Et_2B_022908
gene:Et_2B_021996 gene:Et_2B_021998
gene:Et_2B_022004 gene:Et_2B_022913
gene:Et_2B_022916 gene:Et_2B_022016
gene:Et_2B_022016 gene:Et_2B_022017
gene:Et_2B_022017 gene:Et_2B_022018
gene:Et_2B_022017 gene:Et_2B_022019
gene:Et_2B_022018 gene:Et_2B_022019
gene:Et_2B_022019 gene:Et_2B_022919
gene:Et_2B_022023 gene:Et_2B_022920
gene:Et_2B_022028 gene:Et_2B_022029
gene:Et_2B_022926 gene:Et_2B_022048
gene:Et_2B_022052 gene:Et_2B_022058
gene:Et_2B_022059 gene:Et_2B_022927
gene:Et_2B_022066 gene:Et_2B_022064
gene:Et_2B_022069 gene:Et_2B_022070
gene:Et_2B_022080 gene:Et_2B_022079
gene:Et_2B_022080 gene:Et_2B_022078
gene:Et_2B_022079 gene:Et_2B_022078
gene:Et_2B_022084 gene:Et_2B_022083
gene:Et_2B_022101 gene:Et_2B_022100
gene:Et_2B_022101 gene:Et_2B_022097
gene:Et_2B_022100 gene:Et_2B_022097
gene:Et_2B_022109 gene:Et_2B_022107
gene:Et_2B_022108 gene:Et_2B_022111
gene:Et_2B_022133 gene:Et_2B_022140
gene:Et_2B_022968 gene:Et_2B_022154
gene:Et_2B_022153 gene:Et_2B_022152
gene:Et_2B_019551 gene:Et_2B_019552
gene:Et_2B_022171 gene:Et_2B_019554
gene:Et_2B_022171 gene:Et_2B_019556
gene:Et_2B_019554 gene:Et_2B_019556
gene:Et_2B_019568 gene:Et_2B_019573
gene:Et_2B_019586 gene:Et_2B_019109
gene:Et_2B_019594 gene:Et_2B_019595
gene:Et_2B_019594 gene:Et_2B_019596
gene:Et_2B_019595 gene:Et_2B_019596
gene:Et_2B_019595 gene:Et_2B_019598
gene:Et_2B_019596 gene:Et_2B_019598
gene:Et_2B_019596 gene:Et_2B_019600
gene:Et_2B_019598 gene:Et_2B_019600
gene:Et_2B_019599 gene:Et_2B_018870
gene:Et_2B_019600 gene:Et_2B_019601
gene:Et_2B_019600 gene:Et_2B_019602
gene:Et_2B_019619 gene:Et_2B_019618
gene:Et_2B_019623 gene:Et_2B_019625
gene:Et_2B_019622 gene:Et_2B_019625
gene:Et_2B_019621 gene:Et_2B_019625
gene:Et_2B_019636 gene:Et_2B_019635
gene:Et_2B_019635 gene:Et_2B_019637
gene:Et_2B_019635 gene:Et_2B_019640
gene:Et_2B_019637 gene:Et_2B_019638
gene:Et_2B_019638 gene:Et_2B_019640
gene:Et_2B_019640 gene:Et_2B_019641
gene:Et_2B_019686 gene:Et_2B_019687
gene:Et_2B_019690 gene:Et_2B_022193
gene:Et_2B_022193 gene:Et_2B_022197
gene:Et_2B_022197 gene:Et_2B_022194
gene:Et_2B_022197 gene:Et_2B_022195
gene:Et_2B_022194 gene:Et_2B_022195
gene:Et_2B_019693 gene:Et_2B_019698
gene:Et_2B_019693 gene:Et_2B_019697
gene:Et_2B_019698 gene:Et_2B_019697
gene:Et_2B_019726 gene:Et_2B_019727
gene:Et_2B_019734 gene:Et_2B_019743
gene:Et_2B_019769 gene:Et_2B_019770
gene:Et_2B_019802 gene:Et_2B_019148
gene:Et_2B_022222 gene:Et_2B_019831
gene:Et_2B_019844 gene:Et_2B_022228
gene:Et_2B_019852 gene:Et_2B_019856
gene:Et_2B_019856 gene:Et_2B_019859
gene:Et_2B_019857 gene:Et_2B_019859
gene:Et_2B_019872 gene:Et_2B_019873
gene:Et_2B_019877 gene:Et_2B_019879
gene:Et_2B_019879 gene:Et_2B_019878
gene:Et_2B_019879 gene:Et_2B_022235
gene:Et_2B_019878 gene:Et_2B_022235
gene:Et_2B_019884 gene:Et_2B_022239
gene:Et_2B_019922 gene:Et_2B_019921
gene:Et_2B_019951 gene:Et_2B_019943
gene:Et_2B_019943 gene:Et_2B_022255
gene:Et_2B_019943 gene:Et_2B_022252
gene:Et_2B_022255 gene:Et_2B_022252
gene:Et_2B_022255 gene:Et_2B_022253
gene:Et_2B_022252 gene:Et_2B_022253
gene:Et_2B_022252 gene:Et_2B_019944
gene:Et_2B_022253 gene:Et_2B_019944
gene:Et_2B_022253 gene:Et_2B_019945
gene:Et_2B_019944 gene:Et_2B_019945
gene:Et_2B_019944 gene:Et_2B_019952
gene:Et_2B_019945 gene:Et_2B_019954
gene:Et_2B_019954 gene:Et_2B_019947
gene:Et_2B_019946 gene:Et_2B_018907
gene:Et_2B_019952 gene:Et_2B_019947
gene:Et_2B_022259 gene:Et_2B_019966
gene:Et_2B_022264 gene:Et_2B_020007
gene:Et_2B_022265 gene:Et_2B_020003
gene:Et_2B_020023 gene:Et_2B_020014
gene:Et_2B_020019 gene:Et_2B_020020
gene:Et_2B_020063 gene:Et_2B_020069
gene:Et_2B_019191 gene:Et_2B_020065
gene:Et_2B_020103 gene:Et_2B_020104
gene:Et_2B_018921 gene:Et_2B_018922
gene:Et_2B_020130 gene:Et_2B_020126
gene:Et_2B_018922 gene:Et_2B_018923
gene:Et_2B_020126 gene:Et_2B_020129
gene:Et_2B_018923 gene:Et_2B_018924
gene:Et_2B_020129 gene:Et_2B_020127
gene:Et_2B_018924 gene:Et_2B_020128
gene:Et_2B_022292 gene:Et_2B_022293
gene:Et_2B_022293 gene:Et_2B_020135
gene:Et_2B_020135 gene:Et_2B_020134
gene:Et_2B_019203 gene:Et_2B_019204
gene:Et_2B_020154 gene:Et_2B_022304
gene:Et_2B_020165 gene:Et_2B_018932
gene:Et_2B_020165 gene:Et_2B_018933
gene:Et_2B_018933 gene:Et_2B_018934
gene:Et_2B_020175 gene:Et_2B_020174
gene:Et_2B_020172 gene:Et_2B_018938
gene:Et_2B_020179 gene:Et_2B_022312
gene:Et_2B_020191 gene:Et_2B_020190
gene:Et_2B_020191 gene:Et_2B_020189
gene:Et_2B_020190 gene:Et_2B_020189
gene:Et_2B_022329 gene:Et_2B_020219
gene:Et_2B_022330 gene:Et_2B_020219
gene:Et_2B_022330 gene:Et_2B_020218
gene:Et_2B_020219 gene:Et_2B_020217
gene:Et_2B_020236 gene:Et_2B_020234
gene:Et_2B_020239 gene:Et_2B_020244
gene:Et_2B_020240 gene:Et_2B_020241
gene:Et_2B_020241 gene:Et_2B_020242
gene:Et_2B_020244 gene:Et_2B_020246
gene:Et_2B_020248 gene:Et_2B_020249
gene:Et_2B_020286 gene:Et_2B_018949
gene:Et_2B_020313 gene:Et_2B_020306
gene:Et_2B_022354 gene:Et_2B_018958
gene:Et_2B_022354 gene:Et_2B_020332
gene:Et_2B_018958 gene:Et_2B_020332
gene:Et_2B_020332 gene:Et_2B_018959
gene:Et_2B_020352 gene:Et_2B_020354
gene:Et_2B_020354 gene:Et_2B_020353
gene:Et_2B_022365 gene:Et_2B_022367
gene:Et_2B_022367 gene:Et_2B_020359
gene:Et_2B_022367 gene:Et_2B_020360
gene:Et_2B_020359 gene:Et_2B_020360
gene:Et_2B_022368 gene:Et_2B_020361
gene:Et_2B_022376 gene:Et_2B_022377
gene:Et_2B_020380 gene:Et_2B_020381
gene:Et_2B_020380 gene:Et_2B_022379
gene:Et_2B_020381 gene:Et_2B_022379
gene:Et_2B_022379 gene:Et_2B_022380
gene:Et_2B_022379 gene:Et_2B_020383
gene:Et_2B_022385 gene:Et_2B_018965
gene:Et_2B_022387 gene:Et_2B_020404
gene:Et_2B_022397 gene:Et_2B_020446
gene:Et_2B_022397 gene:Et_2B_022398
gene:Et_2B_020446 gene:Et_2B_022398
gene:Et_2B_020446 gene:Et_2B_020444
gene:Et_2B_022398 gene:Et_2B_020444
gene:Et_2B_020447 gene:Et_2B_022402
gene:Et_2B_018976 gene:Et_2B_022405
gene:Et_2B_020470 gene:Et_2B_019257
gene:Et_2B_022408 gene:Et_2B_022406
gene:Et_2B_022409 gene:Et_2B_020485
gene:Et_2B_020493 gene:Et_2B_020492
gene:Et_2B_019273 gene:Et_2B_019275
gene:Et_2B_019274 gene:Et_2B_019276
gene:Et_2B_019271 gene:Et_2B_019272
gene:Et_2B_020512 gene:Et_2B_020507
gene:Et_2B_020497 gene:Et_2B_020498
gene:Et_2B_020511 gene:Et_2B_020510
gene:Et_2B_020498 gene:Et_2B_020508
gene:Et_2B_022412 gene:Et_2B_022413
gene:Et_2B_022412 gene:Et_2B_022414
gene:Et_2B_022413 gene:Et_2B_022414
gene:Et_2B_019284 gene:Et_2B_020544
gene:Et_2B_020544 gene:Et_2B_020543
gene:Et_2B_020543 gene:Et_2B_019285
gene:Et_2B_020546 gene:Et_2B_020558
gene:Et_2B_020563 gene:Et_2B_020564
gene:Et_2B_020563 gene:Et_2B_020571
gene:Et_2B_020564 gene:Et_2B_020571
gene:Et_2B_020564 gene:Et_2B_020568
gene:Et_2B_020571 gene:Et_2B_020568
gene:Et_2B_020566 gene:Et_2B_020572
gene:Et_2B_020565 gene:Et_2B_020574
gene:Et_2B_020574 gene:Et_2B_022427
gene:Et_2B_020574 gene:Et_2B_020570
gene:Et_2B_022427 gene:Et_2B_020570
gene:Et_2B_020573 gene:Et_2B_020579
gene:Et_2B_020570 gene:Et_2B_020579
gene:Et_2B_020576 gene:Et_2B_022429
gene:Et_2B_020580 gene:Et_2B_020581
gene:Et_2B_022430 gene:Et_2B_020591
gene:Et_2B_022431 gene:Et_2B_020591
gene:Et_2B_020591 gene:Et_2B_020584
gene:Et_2B_022438 gene:Et_2B_020598
